Date,Open,High,Low,Close,Adj Close,Volume
2001-10-18,285.0,286.0,285.0,286.0,286.0,203
2001-10-19,283.0,289.0,282.25,285.5,285.5,136
2001-10-22,287.25,287.5,286.0,287.5,287.5,65
2001-10-23,281.5,282.5,281.5,281.5,281.5,135
2001-10-24,286.0,286.75,286.0,286.25,286.25,65
2001-10-25,285.25,285.25,283.0,283.5,283.5,302
2001-10-26,290.0,291.0,289.25,290.75,290.75,24
2001-10-29,295.0,295.0,293.5,293.5,293.5,302
2001-10-30,291.0,297.0,290.5,296.75,296.75,103
2001-10-31,295.5,296.0,295.0,295.25,295.25,284
2001-11-01,291.5,292.75,290.75,292.25,292.25,34
2001-11-02,288.25,289.0,288.25,289.0,289.0,166
2001-11-05,285.25,285.25,283.0,283.0,283.0,154
2001-11-06,284.5,286.0,284.0,284.0,284.0,70
2001-11-07,286.0,287.0,286.0,287.0,287.0,82
2001-11-08,287.0,288.0,287.0,287.75,287.75,108
2001-11-09,283.5,283.75,283.0,283.5,283.5,100
2001-11-12,286.0,287.5,285.5,285.5,285.5,108
2001-11-13,283.0,283.0,281.0,281.0,281.0,128
2001-11-14,278.0,278.5,277.25,277.5,277.5,108
2001-11-15,280.75,282.0,280.75,282.0,282.0,69
2001-11-16,280.0,280.0,279.25,280.0,280.0,117
2001-11-19,288.25,290.75,288.25,289.25,289.25,114
2001-11-20,290.25,290.25,289.25,289.25,289.25,251
2001-11-21,286.5,287.25,286.5,287.0,287.0,52
2001-11-23,287.0,289.5,286.75,289.5,289.5,61
2001-11-26,289.0,289.75,288.5,289.5,289.5,157
2001-11-27,277.5,278.75,277.5,278.0,278.0,61
2001-11-28,279.5,279.5,279.25,279.5,279.5,61
2001-11-29,274.0,275.0,274.0,274.5,274.5,190
2001-11-30,273.0,278.0,273.0,278.0,278.0,17
2001-12-03,283.75,283.75,282.5,283.0,283.0,22
2001-12-04,280.25,282.0,278.25,281.0,281.0,23
2001-12-05,275.5,277.5,275.5,277.5,277.5,23
2001-12-07,273.0,273.0,273.0,273.0,273.0,3
2001-12-10,281.25,281.25,276.75,276.75,276.75,2
2001-12-11,276.0,276.0,273.5,276.0,276.0,2
2001-12-13,277.0,277.0,277.0,277.0,277.0,2
2001-12-14,275.0,275.0,275.0,275.0,275.0,34
2001-12-17,287.0,287.0,285.5,286.75,286.75,60
2001-12-18,285.75,287.5,285.75,287.5,287.5,95
2001-12-19,286.0,286.5,284.25,285.25,285.25,61
2001-12-20,293.25,293.5,292.5,293.25,293.25,230
2001-12-21,287.5,287.75,287.0,287.75,287.75,230
2001-12-24,288.75,288.75,288.75,288.75,288.75,170
2001-12-27,285.0,291.0,285.0,288.5,288.5,95
2001-12-28,291.0,292.5,290.5,292.5,292.5,170
2001-12-31,289.75,291.0,289.75,291.0,291.0,58
2002-01-02,290.5,292.5,290.0,292.0,292.0,14
2002-01-03,292.75,292.75,291.75,292.25,292.25,253
2002-01-04,300.0,301.25,300.0,301.0,301.0,250
2002-01-07,307.0,308.0,305.25,308.0,308.0,117
2002-01-08,305.0,305.5,304.5,304.5,304.5,250
2002-01-09,304.75,306.0,304.75,306.0,306.0,1153
